transcript,confidence
 Domino's. Everybody said he's got more meeting at the grass spread of an area,0.74475694
 scheduling,0.93333805
 knowing and since loading a moving a couple things like that schedule,0.54596
 the number of units,0.6094025
 things are taken into consideration,0.6951221
 number of number of elevators that that person maintains,0.92212784
 that includes later,0.48103532
 harder and longer,0.8340686
 thunderation,0.68454236
 hi there is no clear-cut solution it's like in Bloomington,0.6647735
 6020 Billington,0.6393778
 so congested with how much would people want to do a little,0.7245673
 Saturday and then I'll talk about providing your role,0.7785336
 oh yeah hold on I'm here I'm on his phone looks like you dropped,0.78053695
 hopefully he joins back on again,0.9693071
 you might be still talking,0.846451
 give me the role,0.601501
 so what happened in the last five years everybody said five years and I don't know if I don't know I don't know if that's a new new management group or,0.9025557
 directive from the shareholders or,0.9134399
 where the compression of the industry or the email the consolidation of the industry or what everybody should five years,0.8502191
 okay let me email you may not realize he's off or his phone went dead or something hold on,0.89919454
 He-Man,0.31236193
 New Breed,0.4243905
 I'm the one question I was going to ask you this since he's in Canada,0.891937
 what he's what he's describing,0.73612726
 is that just for the Canadian Market,0.98267895
 or is it pretty applicable across borders because he was talking about no the PSA is talking about that schedule a lot of regulators I know there's a lot of confirm that with him into regulation state of India,0.9035892
 yeah we heard from one of the interviews whatever Detroit and there's reviews or their safety you know them,0.85919935
 you have to go and get it checked 30 every 30 days,0.88279516
 I said I'm a note,0.77094036
 one of the challenges in terms of scheduling coordinating it,0.7472853
 and then also when you have government building have that all government building stuff like that they all have different protocols,0.9212781
 I know what will get a backup just reschedule,0.6210711
 and having phone protective something to roll mascara,0.78508043
 honestly,0.6952941
 things done and all the things that I'm invoking priorities disease,0.66340595
 but we leave a lot of stuff behind always think that we could do better,0.7544677
 I like my job I like,0.5197425
 Anaconda,0.83385134
 Cincinnati so why don't you look at this,0.793449
 what is that does more outside influence in the world,0.5590205
 outside influences a problem it's really him like somebody I have no desire to leave Anderson out of range,0.7868265
 we will get through it,0.89666957
 typically,0.7621133
 actor on margin,0.5891505
 well we're publicly traded company and every year we have to deliver more,0.7806988
 ways to improve,0.81690496
 firefighter contract but that does happen,0.7541685
 signing contract,0.84610796
 what outside influences,0.9420943
 setting,0.3112905
 only way to constantly,0.7591522
 I'm going down,0.51542825
 on your way in from your perspective that I'm in need to do that all the time,0.5519275
 the thing thing,0.7268639
 Wendy's menu,0.7925596
 let me ask you this from the standpoint of you look at what is the toughest job when you say it seems to talk for a minute,0.7941309
 I move around a lot,0.6139568
 how is the traffic,0.92312634
 expectation evaluating your son,0.5204989
 I'm moving back to life,0.63049877
 the average,0.9022343
 no,0.8136958
 the heart is in there,0.72671926
 reasons for the law they don't know you have no idea,0.7458263
 on point firearms,0.3106159
 I currently think we do this world a whole lot better,0.8622211
 manageable amount,0.94470716
 we want the guys that,0.70849836
 you know I don't want to get involved.,0.8798288
 say in front of you know you think about that being the smarter than your mind you have AR-15,0.78987724
 as a technician I like getting more,0.6132443
 only the crew where to go,0.71663827
 no I didn't like grading contractors that completely out of the collective group,0.6457982
 phone number for effective today out of the customer N64 what are the customers looking for heater from the maintenance contract that side of the business today what are the things that I would say seamless communication between the office,0.86620516
 yes the same thing years ago,0.5438114
 in the front right typically what's there to say thinking in terms of you know what your issues are they going to the salesperson of the sense of where the customer goes when they're in the house,0.81917816
 the customer is on site,0.79553854
 the Texans the manager hasn't released,0.58643687
 I want to be able to talk to text and they want to have a point,0.8272129
